SECTOR|CIE10|NUMERODECASOS
ATARAZANA|E86 | 6
URDANETA|H60 | 2
FEBRES CORDERO|S014 | 1
FEBRES CORDERO|E86 | 207
AYACUCHO|S910 | 1
CHONGON|J050 | 1
FORTIN|S50 | 1
NUEVA PROSPERINA|N390 | 1
PROSPERINA|H60 | 1
MONTEBELLO|R509 | 1
FEBRES CORDERO|B15 | 1
MONTEBELLO|E86 | 2
AYACUCHO|L130 | 1
SALITRE|S298 | 1
CARBO|J96 | 2
FEBRES CORDERO|A06 | 1
FEBRES CORDERO|A08 | 2
FEBRES CORDERO|A09 | 403
SAMANES|N390 | 2
ATARAZANA|J96 | 1
BOLIVAR SAGRARIO|N30 | 1
LAS PEÑAS|J21 | 3
LETAMENDI|S46 | 1
FEBRES CORDERO|B002 | 4
LAS PEÑAS|J20 | 4
URDANETA|N390 | 7
LETAMENDI|S40 | 1
BRISAS DEL RIO|A09 | 1
GARCIA MORENO|T543 | 1
FEBRES CORDERO|K528 | 1
FEBRES CORDERO|J030 | 8
FEBRES CORDERO|J039 | 7
DAULE|J180 | 14
OLMEDO|N23 | 2
XIMENA|A60 | 2
SAUCES|J02 | 5
XIMENA|S000 | 4
SAMANES|J20 | 2
PASCUALES|K590 | 1
PROSPERINA|N390 | 3
CHONGON|J21 | 2
GARCIA MORENO|T099 | 1
CHONGON|S827 | 1
LETAMENDI|R10 | 34
ROCAFUERTE|N30 | 1
PLAYAS|N390 | 1
FERROVIARIA|J98 | 1
OTROS|J96 | 1
NOT_FOUND|S302 | 1
LAS PEÑAS|F41 | 1
NOT_FOUND|S300 | 1
FEBRES CORDERO|S497 | 1
XIMENA|E83 | 1
NOT_FOUND|R202 | 1
LOS CEIBOS|R509 | 1
SAN EDUARDO|R501 | 1
ALBORADA|A059 | 1
SAN EDUARDO|R509 | 1
MONTE SINAI|K12 | 1
LIMONAL|J03 | 2
CHONGON|S913 | 1
FLORIDA|D64 | 1
FEBRES CORDERO|T51 | 1
FLOR DE BASTION|S00 | 1
FLOR DE BASTION|S01 | 1
PUERTO SANTA ANA|J03 | 6
AYACUCHO|R509 | 3
MAPASINGUE|N110 | 1
NOT_FOUND|S59 | 1
FEBRES CORDERO|R10 | 74
FEBRES CORDERO|R11 | 58
NOT_FOUND|S52 | 1
NOT_FOUND|S50 | 2
LETAMENDI|S998 | 2
NOT_FOUND|N390} | 1
ACUARELA DEL RIO|N390 | 1
CIUDAD DEL RIO|J98 | 1
DURAN|K297 | 1
GARCIA MORENO|J030 | 2
AYACUCHO|R501 | 3
ROSALES|E86 | 1
NOT_FOUND|S523 | 3
NOT_FOUND|S525 | 1
SALITRE|J00 | 1
SALITRE|J03 | 2
NOT_FOUND|B082 | 3
SAN FELIPE|N390 | 1
NOT_FOUND|B084 | 4
LETAMENDI|J969 | 1
NOT_FOUND|B088 | 2
NOT_FOUND|J042 | 17
NOT_FOUND|J040 | 2
GARCIA MORENO|J219 | 3
VERGELES|J21 | 2
VERGELES|J20 | 3
LETAMENDI|S519 | 3
XIMENA|J311 | 1
DURAN|A09 | 19
CIUDAD DEL RIO|A09 | 4
TARQUI|J180 | 1
NOT_FOUND|N23 | 12
AYACUCHO|J180 | 11
NOT_FOUND|N20 | 2
FLOR DE BASTION|N390 | 1
MAPASINGUE|S30 | 1
ROCAFUERTE|B002 | 1
FEBRES CORDERO|B829 | 1
XIMENA|S411 | 1
XIMENA|L20 | 3
XIMENA|L23 | 5
BOLIVAR SAGRARIO|K12 | 1
DAULE|R074 | 1
JUAN MONTALVO|R10 | 4
JUAN MONTALVO|R11 | 1
FEBRES CORDERO|M255 | 1
XIMENA|S099 | 11
LETAMENDI|S424 | 1
ALBORADA|R11 | 1
ALBORADA|R10 | 8
URDANETA|K297 | 1
AYACUCHO|J46 | 2
AYACUCHO|J45 | 6
XIMENA|J22 | 6
XIMENA|J20 | 833
XIMENA|J21 | 106
XIMENA|M54 | 1
KENNEDY|S01 | 1
BELLAVISTA|N390 | 2
